Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
2,Trnavský kraj,202,Galanta,7,Maďarské fórum,152,0.29,129,84.86
2,Trnavský kraj,202,Galanta,8,Vlastenecký blok,12,0.02,8,66.66
2,Trnavský kraj,202,Galanta,9,"Modrí, Most - Híd",291,0.57,232,79.72
2,Trnavský kraj,202,Galanta,10,SPRAVODLIVOSŤ,23,0.04,14,60.86
2,Trnavský kraj,202,Galanta,11,Slovenské Hnutie Obrody,18,0.03,15,83.33
2,Trnavský kraj,202,Galanta,12,Sloboda a Solidarita,2439,4.8,2009,82.36
2,Trnavský kraj,202,Galanta,13,SME RODINA,1165,2.29,967,83.0
2,Trnavský kraj,202,Galanta,14,MySlovensko,51,0.1,36,70.58
2,Trnavský kraj,202,Galanta,15,Slovenská národná strana,1923,3.79,1663,86.47
2,Trnavský kraj,202,Galanta,16,SMER - sociálna demokracia,10647,20.98,8875,83.35
2,Trnavský kraj,202,Galanta,17,HLAS - sociálna demokracia,5823,11.47,4820,82.77
2,Trnavský kraj,202,Galanta,18,SZÖVETSÉG - Magyarok,10331,20.36,9197,89.02
2,Trnavský kraj,202,Galanta,19,SRDCE vlastenci a dôchodcovia,30,0.05,16,53.33
2,Trnavský kraj,202,Galanta,20,SDKU - DS,12,0.02,4,33.33
2,Trnavský kraj,202,Galanta,21,Kotlebovci - Ľudová strana Naše Slovensko,393,0.77,324,82.44
2,Trnavský kraj,202,Galanta,22,Demokrati,1110,2.18,924,83.24
2,Trnavský kraj,202,Galanta,23,Kresťanskodemokratické hnutie,1408,2.77,1007,71.51
2,Trnavský kraj,202,Galanta,24,KARMA,46,0.09,29,63.04
2,Trnavský kraj,202,Galanta,25,REPUBLIKA,2049,4.03,1751,85.45
2,Trnavský kraj,203,Piešťany,1,Pirátska strana - Slovensko,87,0.24,55,63.21
2,Trnavský kraj,203,Piešťany,2,PRINCÍP,9,0.02,5,55.55
2,Trnavský kraj,203,Piešťany,3,Progresívne Slovensko,7417,20.48,5217,70.33
2,Trnavský kraj,203,Piešťany,4,SPOLOČNE OBČANIA SLOVENSKA,41,0.11,23,56.09
2,Trnavský kraj,203,Piešťany,5,OĽANO A PRIATELIA,2661,7.35,2308,86.73
2,Trnavský kraj,203,Piešťany,6,Komunistická strana Slovenska,132,0.36,92,69.69
2,Trnavský kraj,203,Piešťany,7,Maďarské fórum,7,0.01,5,71.42
2,Trnavský kraj,203,Piešťany,8,Vlastenecký blok,22,0.06,20,90.9
2,Trnavský kraj,203,Piešťany,9,"Modrí, Most - Híd",29,0.08,22,75.86
2,Trnavský kraj,203,Piešťany,10,SPRAVODLIVOSŤ,14,0.03,8,57.14
2,Trnavský kraj,203,Piešťany,11,Slovenské Hnutie Obrody,16,0.04,11,68.75
2,Trnavský kraj,203,Piešťany,12,Sloboda a Solidarita,2291,6.32,1785,77.91
2,Trnavský kraj,203,Piešťany,13,SME RODINA,737,2.03,588,79.78
2,Trnavský kraj,203,Piešťany,14,MySlovensko,92,0.25,79,85.86
2,Trnavský kraj,203,Piešťany,15,Slovenská národná strana,2068,5.71,1790,86.55
2,Trnavský kraj,203,Piešťany,16,SMER - sociálna demokracia,9606,26.53,7859,81.81
2,Trnavský kraj,203,Piešťany,17,HLAS - sociálna demokracia,5014,13.85,4002,79.81
2,Trnavský kraj,203,Piešťany,18,SZÖVETSÉG - Magyarok,22,0.06,16,72.72
2,Trnavský kraj,203,Piešťany,19,SRDCE vlastenci a dôchodcovia,22,0.06,14,63.63
2,Trnavský kraj,203,Piešťany,20,SDKU - DS,13,0.03,4,30.76
2,Trnavský kraj,203,Piešťany,21,Kotlebovci - Ľudová strana Naše Slovensko,412,1.13,357,86.65
2,Trnavský kraj,203,Piešťany,22,Demokrati,1351,3.73,1149,85.04
2,Trnavský kraj,203,Piešťany,23,Kresťanskodemokratické hnutie,2196,6.06,1537,69.99
2,Trnavský kraj,203,Piešťany,24,KARMA,98,0.27,79,80.61
2,Trnavský kraj,203,Piešťany,25,REPUBLIKA,1843,5.09,1522,82.58
2,Trnavský kraj,204,Senica,1,Pirátska strana - Slovensko,208,0.36,139,66.82
2,Trnavský kraj,204,Senica,2,PRINCÍP,19,0.03,12,63.15
2,Trnavský kraj,204,Senica,3,Progresívne Slovensko,11106,19.23,7786,70.1
2,Trnavský kraj,204,Senica,4,SPOLOČNE OBČANIA SLOVENSKA,57,0.09,32,56.14
2,Trnavský kraj,204,Senica,5,OĽANO A PRIATELIA,5978,10.35,4958,82.93
2,Trnavský kraj,204,Senica,6,Komunistická strana Slovenska,368,0.63,229,62.22
2,Trnavský kraj,204,Senica,7,Maďarské fórum,23,0.03,20,86.95
2,Trnavský kraj,204,Senica,8,Vlastenecký blok,55,0.09,47,85.45
2,Trnavský kraj,204,Senica,9,"Modrí, Most - Híd",68,0.11,45,66.17
2,Trnavský kraj,204,Senica,10,SPRAVODLIVOSŤ,37,0.06,26,70.27
2,Trnavský kraj,204,Senica,11,Slovenské Hnutie Obrody,18,0.03,13,72.22
2,Trnavský kraj,204,Senica,12,Sloboda a Solidarita,3441,5.95,2697,78.37
2,Trnavský kraj,204,Senica,13,SME RODINA,1875,3.24,1559,83.14
