Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,102,Malacky,106,Malacky,11,Slovenské Hnutie Obrody,19,0.04,12,63.15
1,Bratislavský kraj,102,Malacky,106,Malacky,12,Sloboda a Solidarita,3698,8.39,2983,80.66
1,Bratislavský kraj,102,Malacky,106,Malacky,13,SME RODINA,1223,2.77,983,80.37
1,Bratislavský kraj,102,Malacky,106,Malacky,14,MySlovensko,79,0.17,60,75.94
1,Bratislavský kraj,102,Malacky,106,Malacky,15,Slovenská národná strana,2091,4.74,1835,87.75
1,Bratislavský kraj,102,Malacky,106,Malacky,16,SMER - sociálna demokracia,10552,23.95,8780,83.2
1,Bratislavský kraj,102,Malacky,106,Malacky,17,HLAS - sociálna demokracia,6267,14.22,5060,80.74
1,Bratislavský kraj,102,Malacky,106,Malacky,18,SZÖVETSÉG - Magyarok,26,0.05,19,73.07
1,Bratislavský kraj,102,Malacky,106,Malacky,19,SRDCE vlastenci a dôchodcovia,27,0.06,15,55.55
1,Bratislavský kraj,102,Malacky,106,Malacky,20,SDKU - DS,16,0.03,7,43.75
1,Bratislavský kraj,102,Malacky,106,Malacky,21,Kotlebovci - Ľudová strana Naše Slovensko,418,0.94,340,81.33
1,Bratislavský kraj,102,Malacky,106,Malacky,22,Demokrati,1645,3.73,1370,83.28
1,Bratislavský kraj,102,Malacky,106,Malacky,23,Kresťanskodemokratické hnutie,1961,4.45,1342,68.43
1,Bratislavský kraj,102,Malacky,106,Malacky,24,KARMA,46,0.1,32,69.56
1,Bratislavský kraj,102,Malacky,106,Malacky,25,REPUBLIKA,2261,5.13,1880,83.14
1,Bratislavský kraj,103,Pezinok,107,Pezinok,1,Pirátska strana - Slovensko,122,0.29,74,60.65
1,Bratislavský kraj,103,Pezinok,107,Pezinok,2,PRINCÍP,14,0.03,8,57.14
1,Bratislavský kraj,103,Pezinok,107,Pezinok,3,Progresívne Slovensko,10763,26.12,7766,72.15
1,Bratislavský kraj,103,Pezinok,107,Pezinok,4,SPOLOČNE OBČANIA SLOVENSKA,39,0.09,20,51.28
1,Bratislavský kraj,103,Pezinok,107,Pezinok,5,OĽANO A PRIATELIA,2876,6.98,2401,83.48
1,Bratislavský kraj,103,Pezinok,107,Pezinok,6,Komunistická strana Slovenska,188,0.45,127,67.55
1,Bratislavský kraj,103,Pezinok,107,Pezinok,7,Maďarské fórum,17,0.04,14,82.35
1,Bratislavský kraj,103,Pezinok,107,Pezinok,8,Vlastenecký blok,32,0.07,23,71.87
1,Bratislavský kraj,103,Pezinok,107,Pezinok,9,"Modrí, Most - Híd",67,0.16,41,61.19
1,Bratislavský kraj,103,Pezinok,107,Pezinok,10,SPRAVODLIVOSŤ,37,0.08,22,59.45
1,Bratislavský kraj,103,Pezinok,107,Pezinok,11,Slovenské Hnutie Obrody,21,0.05,9,42.85
1,Bratislavský kraj,103,Pezinok,107,Pezinok,12,Sloboda a Solidarita,3943,9.57,3140,79.63
1,Bratislavský kraj,103,Pezinok,107,Pezinok,13,SME RODINA,821,1.99,642,78.19
1,Bratislavský kraj,103,Pezinok,107,Pezinok,14,MySlovensko,45,0.1,27,60.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,15,Slovenská národná strana,2283,5.54,1985,86.94
1,Bratislavský kraj,103,Pezinok,107,Pezinok,16,SMER - sociálna demokracia,8797,21.35,7227,82.15
1,Bratislavský kraj,103,Pezinok,107,Pezinok,17,HLAS - sociálna demokracia,5097,12.37,4043,79.32
1,Bratislavský kraj,103,Pezinok,107,Pezinok,18,SZÖVETSÉG - Magyarok,21,0.05,16,76.19
1,Bratislavský kraj,103,Pezinok,107,Pezinok,19,SRDCE vlastenci a dôchodcovia,45,0.1,23,51.11
1,Bratislavský kraj,103,Pezinok,107,Pezinok,20,SDKU - DS,9,0.02,5,55.55
1,Bratislavský kraj,103,Pezinok,107,Pezinok,21,Kotlebovci - Ľudová strana Naše Slovensko,288,0.69,245,85.06
1,Bratislavský kraj,103,Pezinok,107,Pezinok,22,Demokrati,1760,4.27,1483,84.26
