Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,29,359,1.0,0.27,,,94.0,26.18,,,17.0,4.73,1.0,0.27,1.0,0.27,,,,,,,2.0,0.55,38.0,10.58,9.0,2.5,,,22.0,6.12,73.0,20.33,70.0,19.49,,,,,,,3.0,0.83,6.0,1.67,11.0,3.06,,,11.0,3.06
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,30,158,1.0,0.63,,,22.0,13.92,,,7.0,4.43,1.0,0.63,,,1.0,0.63,1.0,0.63,,,,,6.0,3.79,5.0,3.16,,,19.0,12.02,40.0,25.31,28.0,17.72,,,,,,,1.0,0.63,4.0,2.53,16.0,10.12,1.0,0.63,5.0,3.16
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,31,625,1.0,0.16,,,168.0,26.88,2.0,0.32,37.0,5.92,4.0,0.64,,,1.0,0.16,1.0,0.16,2.0,0.32,,,67.0,10.72,6.0,0.96,,,35.0,5.6,105.0,16.8,106.0,16.96,,,,,,,3.0,0.48,25.0,4.0,27.0,4.32,,,35.0,5.6
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,32,416,,,1.0,0.24,70.0,16.82,,,32.0,7.69,,,,,1.0,0.24,1.0,0.24,,,,,49.0,11.77,7.0,1.68,,,18.0,4.32,81.0,19.47,91.0,21.87,,,,,,,,,13.0,3.12,31.0,7.45,,,21.0,5.04
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510751,Liptovský Ondrej,1,403,6.0,1.48,,,63.0,15.63,,,11.0,2.72,3.0,0.74,,,1.0,0.24,1.0,0.24,,,,,33.0,8.18,8.0,1.98,,,22.0,5.45,96.0,23.82,103.0,25.55,,,1.0,0.24,,,,,12.0,2.97,12.0,2.97,3.0,0.74,28.0,6.94
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,580287,Liptovský Peter,1,720,,,,,115.0,15.97,2.0,0.27,44.0,6.11,3.0,0.41,,,1.0,0.13,,,,,,,42.0,5.83,29.0,4.02,,,67.0,9.3,157.0,21.8,130.0,18.05,1.0,0.13,1.0,0.13,,,9.0,1.25,18.0,2.5,41.0,5.69,1.0,0.13,59.0,8.19
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510777,Liptovský Trnovec,1,440,,,,,97.0,22.04,,,26.0,5.9,2.0,0.45,,,,,1.0,0.22,,,,,41.0,9.31,15.0,3.4,,,21.0,4.77,83.0,18.86,66.0,15.0,,,1.0,0.22,,,3.0,0.68,15.0,3.4,29.0,6.59,4.0,0.9,36.0,8.18
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510793,Ľubeľa,1,732,,,,,75.0,10.24,,,30.0,4.09,2.0,0.27,2.0,0.27,,,,,,,,,43.0,5.87,13.0,1.77,,,63.0,8.6,246.0,33.6,169.0,23.08,,,1.0,0.13,,,4.0,0.54,13.0,1.77,42.0,5.73,1.0,0.13,28.0,3.82
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510831,Malatíny,1,178,,,,,29.0,16.29,1.0,0.56,18.0,10.11,1.0,0.56,,,,,,,,,,,14.0,7.86,2.0,1.12,,,12.0,6.74,34.0,19.1,33.0,18.53,1.0,0.56,,,,,5.0,2.8,7.0,3.93,4.0,2.24,,,17.0,9.55
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510840,Malé Borové,1,71,1.0,1.4,1.0,1.4,9.0,12.67,,,8.0,11.26,,,,,,,,,,,,,,,1.0,1.4,,,3.0,4.22,20.0,28.16,13.0,18.3,,,,,,,4.0,5.63,4.0,5.63,4.0,5.63,,,3.0,4.22
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510858,Malužiná,1,152,,,,,17.0,11.18,,,11.0,7.23,,,,,,,,,,,,,7.0,4.6,6.0,3.94,,,18.0,11.84,28.0,18.42,34.0,22.36,,,,,,,3.0,1.97,3.0,1.97,17.0,11.18,,,8.0,5.26
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510874,Nižná Boca,1,133,,,,,38.0,28.57,,,5.0,3.75,2.0,1.5,,,,,,,,,,,12.0,9.02,10.0,7.51,,,14.0,10.52,18.0,13.53,28.0,21.05,1.0,0.75,,,,,,,1.0,0.75,1.0,0.75,,,3.0,2.25
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510904,Partizánska Ľupča,1,781,4.0,0.51,1.0,0.12,138.0,17.66,,,43.0,5.5,2.0,0.25,,,1.0,0.12,1.0,0.12,,,,,41.0,5.24,16.0,2.04,1.0,0.12,64.0,8.19,180.0,23.04,170.0,21.76,,,,,,,5.0,0.64,28.0,3.58,35.0,4.48,1.0,0.12,50.0,6.4
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510912,Pavčina Lehota,1,354,,,,,96.0,27.11,,,22.0,6.21,2.0,0.56,,,2.0,0.56,,,,,,,30.0,8.47,8.0,2.25,1.0,0.28,19.0,5.36,55.0,15.53,53.0,14.97,1.0,0.28,,,,,2.0,0.56,22.0,6.21,16.0,4.51,,,25.0,7.06
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510921,Pavlova Ves,1,138,,,,,21.0,15.21,,,4.0,2.89,8.0,5.79,,,,,,,3.0,2.17,,,12.0,8.69,3.0,2.17,,,9.0,6.52,16.0,11.59,33.0,23.91,,,,,,,4.0,2.89,1.0,0.72,13.0,9.42,,,11.0,7.97
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510947,Podtureň,1,626,1.0,0.15,1.0,0.15,101.0,16.13,,,48.0,7.66,4.0,0.63,,,,,,,,,,,37.0,5.91,19.0,3.03,1.0,0.15,48.0,7.66,159.0,25.39,106.0,16.93,,,1.0,0.15,,,4.0,0.63,23.0,3.67,21.0,3.35,2.0,0.31,50.0,7.98
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510963,Pribylina,1,920,5.0,0.54,2.0,0.21,182.0,19.78,1.0,0.1,69.0,7.5,2.0,0.21,,,1.0,0.1,1.0,0.1,,,1.0,0.1,83.0,9.02,28.0,3.04,1.0,0.1,75.0,8.15,212.0,23.04,143.0,15.54,2.0,0.21,,,,,10.0,1.08,26.0,2.82,34.0,3.69,1.0,0.1,41.0,4.45
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510971,Prosiek,1,143,1.0,0.69,,,23.0,16.08,,,9.0,6.29,1.0,0.69,,,,,,,,,,,5.0,3.49,1.0,0.69,,,24.0,16.78,39.0,27.27,23.0,16.08,,,,,,,,,3.0,2.09,6.0,4.19,1.0,0.69,7.0,4.89
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511013,Smrečany,1,468,2.0,0.42,,,117.0,25.0,,,25.0,5.34,1.0,0.21,,,,,2.0,0.42,,,,,45.0,9.61,14.0,2.99,,,28.0,5.98,59.0,12.6,110.0,23.5,,,,,,,2.0,0.42,15.0,3.2,29.0,6.19,2.0,0.42,17.0,3.63
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511048,Svätý Kríž,1,516,,,,,70.0,13.56,1.0,0.19,39.0,7.55,1.0,0.19,,,,,,,,,,,23.0,4.45,17.0,3.29,,,46.0,8.91,129.0,25.0,122.0,23.64,,,1.0,0.19,,,3.0,0.58,14.0,2.71,24.0,4.65,1.0,0.19,25.0,4.84
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511072,Trstené,1,145,,,,,30.0,20.68,,,4.0,2.75,,,,,,,,,,,,,13.0,8.96,4.0,2.75,,,10.0,6.89,36.0,24.82,22.0,15.17,,,,,,,2.0,1.37,1.0,0.68,12.0,8.27,,,11.0,7.58
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511099,Uhorská Ves,1,320,,,1.0,0.31,47.0,14.68,,,23.0,7.18,4.0,1.25,,,,,1.0,0.31,,,,,20.0,6.25,11.0,3.43,,,27.0,8.43,85.0,26.56,68.0,21.25,,,,,,,2.0,0.62,4.0,1.25,12.0,3.75,,,15.0,4.68
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511111,Vavrišovo,1,443,2.0,0.45,1.0,0.22,80.0,18.05,,,38.0,8.57,2.0,0.45,,,,,,,,,,,27.0,6.09,27.0,6.09,,,47.0,10.6,71.0,16.02,72.0,16.25,,,,,1.0,0.22,4.0,0.9,22.0,4.96,22.0,4.96,,,27.0,6.09
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511129,Važec,1,624,1.0,0.16,,,48.0,7.69,,,68.0,10.89,,,,,,,,,,,,,13.0,2.08,16.0,2.56,,,82.0,13.14,177.0,28.36,107.0,17.14,,,,,,,12.0,1.92,18.0,2.88,21.0,3.36,,,61.0,9.77
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511129,Važec,2,534,3.0,0.56,,,51.0,9.55,,,98.0,18.35,1.0,0.18,,,,,,,,,,,10.0,1.87,11.0,2.05,,,58.0,10.86,122.0,22.84,93.0,17.41,1.0,0.18,1.0,0.18,,,4.0,0.74,10.0,1.87,35.0,6.55,1.0,0.18,35.0,6.55
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511137,Veľké Borové,1,77,,,,,18.0,23.37,,,3.0,3.89,,,,,,,,,,,,,1.0,1.29,1.0,1.29,,,1.0,1.29,21.0,27.27,7.0,9.09,,,,,,,1.0,1.29,7.0,9.09,12.0,15.58,,,5.0,6.49
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511145,Veterná Poruba,1,211,1.0,0.47,,,23.0,10.9,,,12.0,5.68,2.0,0.94,,,,,,,,,1.0,0.47,12.0,5.68,9.0,4.26,1.0,0.47,15.0,7.1,58.0,27.48,44.0,20.85,,,,,,,,,13.0,6.16,6.0,2.84,,,14.0,6.63
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,511153,Vlachy,1,419,4.0,0.95,,,57.0,13.6,,,27.0,6.44,4.0,0.95,,,,,,,,,,,6.0,1.43,12.0,2.86,1.0,0.23,20.0,4.77,102.0,24.34,88.0,21.0,,,1.0,0.23,,,3.0,0.71,8.0,1.9,28.0,6.68,,,58.0,13.84
