Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
7,Prešovský kraj,701,Bardejov,39218,118,0.3,37,0.09,3457,8.81,21,0.05,5548,14.14,96,0.24,16,0.04,7.0,0.01,54,0.13,13,0.03,10,0.02,1379,3.51,853,2.17,34,0.08,1995,5.08,8903,22.7,6944,17.7,23,0.05,17,0.04,9.0,0.02,211,0.53,988,2.51,6732,17.16,14,0.03,1739,4.43
7,Prešovský kraj,702,Humenné,52870,89,0.16,72,0.13,4205,7.95,32,0.06,4541,8.58,175,0.33,50,0.09,16.0,0.03,71,0.13,17,0.03,16,0.03,1827,3.45,1268,2.39,41,0.07,3276,6.19,16744,31.67,10227,19.34,30,0.05,41,0.07,23.0,0.04,342,0.64,984,1.86,6073,11.48,38,0.07,2672,5.05
7,Prešovský kraj,703,Kežmarok,33707,106,0.31,34,0.1,3353,9.94,17,0.05,9036,26.8,94,0.27,18,0.05,8.0,0.02,71,0.21,21,0.06,17,0.05,1144,3.39,627,1.86,18,0.05,1592,4.72,5105,15.14,4042,11.99,30,0.08,14,0.04,11.0,0.03,206,0.61,772,2.29,5079,15.06,18,0.05,2274,6.74
7,Prešovský kraj,704,Poprad,71847,191,0.26,42,0.05,11283,15.7,73,0.1,9305,12.95,274,0.38,24,0.03,14.0,0.01,79,0.1,26,0.03,40,0.05,4078,5.67,1609,2.23,49,0.06,4188,5.82,13632,18.97,9880,13.75,92,0.12,59,0.08,19.0,0.02,493,0.68,2170,3.02,10037,13.96,59,0.08,4131,5.74
7,Prešovský kraj,705,Prešov,119079,435,0.36,116,0.09,15573,13.07,105,0.08,16977,14.25,312,0.26,57,0.04,40.0,0.03,144,0.12,56,0.04,39,0.03,5721,4.8,3319,2.78,71,0.05,6577,5.52,21362,17.93,18889,15.86,78,0.06,49,0.04,51.0,0.04,716,0.6,4166,3.49,18580,15.6,81,0.06,5565,4.67
7,Prešovský kraj,706,Stará Ľubovňa,25136,85,0.33,19,0.07,1808,7.19,15,0.05,3869,15.39,83,0.33,11,0.04,8.0,0.03,19,0.07,11,0.04,5,0.01,761,3.02,415,1.65,23,0.09,1562,6.21,5835,23.21,3908,15.54,8,0.03,12,0.04,5.0,0.01,149,0.59,571,2.27,4408,17.53,10,0.03,1536,6.11
7,Prešovský kraj,707,Stropkov,10060,32,0.31,53,0.52,744,7.39,26,0.25,1098,10.91,43,0.42,9,0.08,,,6,0.05,2,0.01,3,0.02,338,3.35,302,3.0,13,0.12,820,8.15,2714,26.97,1729,17.18,7,0.06,10,0.09,5.0,0.04,76,0.75,249,2.47,1268,12.6,7,0.06,506,5.02
7,Prešovský kraj,708,Svidník,16133,49,0.3,31,0.19,1095,6.78,28,0.17,2178,13.5,67,0.41,3,0.01,5.0,0.03,7,0.04,7,0.04,16,0.09,470,2.91,387,2.39,9,0.05,1028,6.37,4754,29.46,3309,20.51,9,0.05,11,0.06,2.0,0.01,94,0.58,274,1.69,1532,9.49,3,0.01,765,4.74
7,Prešovský kraj,709,Vranov nad Topľou,39151,92,0.23,73,0.18,2610,6.66,23,0.05,7643,19.52,120,0.3,21,0.05,10.0,0.02,39,0.09,7,0.01,10,0.02,999,2.55,859,2.19,22,0.05,2299,5.87,10737,27.42,6882,17.57,20,0.05,16,0.04,12.0,0.03,279,0.71,656,1.67,3624,9.25,13,0.03,2085,5.32
8,Košický kraj,801,Košice,115850,278,0.23,73,0.06,27712,23.92,73,0.06,10681,9.21,290,0.25,125,0.1,25.0,0.02,388,0.33,62,0.05,70,0.06,11034,9.52,3007,2.59,83,0.07,5190,4.47,20761,17.92,15386,13.28,1431,1.23,48,0.04,27.0,0.02,755,0.65,4985,4.3,8473,7.31,100,0.08,4793,4.13
8,Košický kraj,802,Košice - okolie,62255,274,0.44,76,0.12,7791,12.51,62,0.09,11685,18.76,171,0.27,149,0.23,23.0,0.03,180,0.28,33,0.05,42,0.06,3243,5.2,2028,3.25,42,0.06,2541,4.08,11336,18.2,9114,14.63,3591,5.76,27,0.04,25.0,0.04,488,0.78,1825,2.93,4115,6.6,41,0.06,3353,5.38
8,Košický kraj,803,Michalovce,58682,205,0.34,91,0.15,4778,8.14,37,0.06,7663,13.05,219,0.37,67,0.11,38.0,0.06,352,0.59,27,0.04,33,0.05,2092,3.56,1705,2.9,43,0.07,2807,4.78,17341,29.55,10351,17.63,2851,4.85,41,0.06,10.0,0.01,407,0.69,1236,2.1,3409,5.8,35,0.05,2844,4.84
8,Košický kraj,804,Rožňava,25547,184,0.72,40,0.15,2965,11.6,26,0.1,3810,14.91,131,0.51,65,0.25,12.0,0.04,129,0.5,12,0.04,18,0.07,949,3.71,613,2.39,14,0.05,1014,3.96,4462,17.46,4003,15.66,4275,16.73,27,0.1,2.0,0.0,223,0.87,587,2.29,405,1.58,24,0.09,1557,6.09
8,Košický kraj,805,Spišská Nová Ves,57795,248,0.42,53,0.09,6822,11.8,47,0.08,9564,16.54,227,0.39,38,0.06,21.0,0.03,74,0.12,31,0.05,30,0.05,2502,4.32,1478,2.55,95,0.16,2927,5.06,12327,21.32,9391,16.24,49,0.08,36,0.06,16.0,0.02,633,1.09,1430,2.47,5924,10.25,40,0.06,3792,6.56
8,Košický kraj,806,Trebišov,43484,283,0.65,150,0.34,3324,7.64,42,0.09,5575,12.82,185,0.42,82,0.18,24.0,0.05,85,0.19,23,0.05,13,0.02,1065,2.44,1177,2.7,21,0.04,1466,3.37,10525,24.2,6609,15.19,7585,17.44,19,0.04,16.0,0.03,264,0.6,800,1.83,2403,5.52,12,0.02,1736,3.99
9,Cudzina,900,Cudzina,57856,90,0.15,8,0.01,35701,61.7,9,0.01,2208,3.81,27,0.04,38,0.06,13.0,0.02,198,0.34,6,0.01,11,0.01,6252,10.8,323,0.55,70,0.12,2197,3.79,3531,6.1,1428,2.46,274,0.47,11,0.01,,,225,0.38,1448,2.5,1920,3.31,16,0.02,1852,3.2
