Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
1,Bratislavský kraj,104,Senec,108,Senec,503819,Hurbanova Ves,1,1,100.0,518,426,82.23,425,99.76,421,98.82
1,Bratislavský kraj,104,Senec,108,Senec,507911,Chorvátsky Grob,5,5,100.0,5282,4333,82.03,4322,99.74,4283,98.84
1,Bratislavský kraj,104,Senec,108,Senec,555487,Igram,1,1,100.0,453,339,74.83,338,99.7,337,99.41
1,Bratislavský kraj,104,Senec,108,Senec,507938,Ivanka pri Dunaji,4,4,100.0,5360,4171,77.81,4169,99.95,4120,98.77
1,Bratislavský kraj,104,Senec,108,Senec,507997,Kalinkovo,1,1,100.0,1156,992,85.81,951,95.86,949,95.66
1,Bratislavský kraj,104,Senec,108,Senec,555495,Kaplna,1,1,100.0,725,551,76.0,551,100.0,548,99.45
1,Bratislavský kraj,104,Senec,108,Senec,503851,Kostolná pri Dunaji,1,1,100.0,623,475,76.24,474,99.78,469,98.73
1,Bratislavský kraj,104,Senec,108,Senec,503894,Kráľová pri Senci,2,2,100.0,1687,1246,73.85,1245,99.91,1230,98.71
1,Bratislavský kraj,104,Senec,108,Senec,508071,Malinovo,2,2,100.0,2867,2303,80.32,2295,99.65,2283,99.13
1,Bratislavský kraj,104,Senec,108,Senec,508098,Miloslavov,3,3,100.0,4206,3496,83.11,3492,99.88,3471,99.28
1,Bratislavský kraj,104,Senec,108,Senec,508110,Most pri Bratislave,3,3,100.0,3134,2482,79.19,2482,100.0,2461,99.15
1,Bratislavský kraj,104,Senec,108,Senec,508136,Nová Dedinka,2,2,100.0,2604,2062,79.18,2062,100.0,2033,98.59
1,Bratislavský kraj,104,Senec,108,Senec,582549,Nový Svet,1,1,100.0,89,66,74.15,66,100.0,66,100.0
1,Bratislavský kraj,104,Senec,108,Senec,503983,Reca,1,1,100.0,1333,916,68.71,916,100.0,905,98.79
1,Bratislavský kraj,104,Senec,108,Senec,508209,Rovinka,4,4,100.0,4219,3394,80.44,3377,99.49,3368,99.23
1,Bratislavský kraj,104,Senec,108,Senec,508217,Senec,17,17,100.0,15118,10958,72.48,10951,99.93,10860,99.1
1,Bratislavský kraj,104,Senec,108,Senec,508276,Tomášov,2,2,100.0,2209,1622,73.42,1620,99.87,1609,99.19
1,Bratislavský kraj,104,Senec,108,Senec,508284,Tureň,1,1,100.0,971,751,77.34,748,99.6,740,98.53
1,Bratislavský kraj,104,Senec,108,Senec,508292,Veľký Biel,2,2,100.0,2333,1682,72.09,1667,99.1,1664,98.92
1,Bratislavský kraj,104,Senec,108,Senec,508331,Vlky,1,1,100.0,362,258,71.27,258,100.0,257,99.61
1,Bratislavský kraj,104,Senec,108,Senec,555509,Zálesie,2,2,100.0,1707,1378,80.72,1376,99.85,1370,99.41
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501441,Báč,1,1,100.0,469,351,74.84,350,99.71,345,98.29
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501450,Baka,1,1,100.0,979,628,64.14,628,100.0,620,98.72
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501468,Baloň,1,1,100.0,626,397,63.41,396,99.74,395,99.49
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555517,Bellova Ves,1,1,100.0,266,196,73.68,196,100.0,195,99.48
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501484,Blahová,1,1,100.0,364,251,68.95,251,100.0,248,98.8
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501492,Blatná na Ostrove,1,1,100.0,811,524,64.61,524,100.0,521,99.42
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,503461,Bodíky,1,1,100.0,336,259,77.08,259,100.0,256,98.84
