Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,1357,4.0,0.29,,,501.0,36.91,,,93.0,6.85,1.0,0.07,,,,,1.0,0.07,,,,,167.0,12.3,15.0,1.1,,,58.0,4.27,173.0,12.74,129.0,9.5,,,,,,,5.0,0.36,84.0,6.19,83.0,6.11,,,43.0,3.16
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,553,,,,,104.0,18.8,1.0,0.18,32.0,5.78,11.0,1.98,,,1.0,0.18,1.0,0.18,,,2.0,0.36,38.0,6.87,16.0,2.89,2.0,0.36,19.0,3.43,158.0,28.57,86.0,15.55,1.0,0.18,,,2.0,0.36,5.0,0.9,13.0,2.35,18.0,3.25,,,43.0,7.77
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,495,2.0,0.4,1.0,0.2,92.0,18.58,2.0,0.4,21.0,4.24,1.0,0.2,,,,,1.0,0.2,1.0,0.2,,,30.0,6.06,15.0,3.03,1.0,0.2,40.0,8.08,100.0,20.2,103.0,20.8,1.0,0.2,1.0,0.2,,,6.0,1.21,19.0,3.83,30.0,6.06,2.0,0.4,26.0,5.25
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,498,4.0,0.8,,,90.0,18.07,,,23.0,4.61,,,,,1.0,0.2,,,1.0,0.2,,,25.0,5.02,7.0,1.4,,,29.0,5.82,153.0,30.72,97.0,19.47,1.0,0.2,,,,,4.0,0.8,5.0,1.0,14.0,2.81,,,44.0,8.83
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,1355,5.0,0.36,,,253.0,18.67,1.0,0.07,272.0,20.07,4.0,0.29,,,,,2.0,0.14,,,2.0,0.14,94.0,6.93,38.0,2.8,7.0,0.51,59.0,4.35,255.0,18.81,182.0,13.43,3.0,0.22,1.0,0.07,,,6.0,0.44,47.0,3.46,45.0,3.32,,,79.0,5.83
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,1870,18.0,0.96,1.0,0.05,309.0,16.52,4.0,0.21,152.0,8.12,11.0,0.58,1.0,0.05,,,3.0,0.16,3.0,0.16,1.0,0.05,118.0,6.31,63.0,3.36,2.0,0.1,93.0,4.97,464.0,24.81,318.0,17.0,1.0,0.05,1.0,0.05,1.0,0.05,20.0,1.06,61.0,3.26,89.0,4.75,2.0,0.1,134.0,7.16
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,986,3.0,0.3,,,177.0,17.95,,,49.0,4.96,3.0,0.3,1.0,0.1,,,1.0,0.1,2.0,0.2,1.0,0.1,61.0,6.18,30.0,3.04,5.0,0.5,63.0,6.38,253.0,25.65,176.0,17.84,,,,,,,16.0,1.62,43.0,4.36,49.0,4.96,3.0,0.3,50.0,5.07
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,1012,5.0,0.49,1.0,0.09,173.0,17.09,1.0,0.09,93.0,9.18,4.0,0.39,,,,,1.0,0.09,,,1.0,0.09,72.0,7.11,24.0,2.37,2.0,0.19,49.0,4.84,266.0,26.28,176.0,17.39,1.0,0.09,3.0,0.29,,,11.0,1.08,23.0,2.27,42.0,4.15,,,64.0,6.32
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,7137,36.0,0.5,1.0,0.01,2155.0,30.19,4.0,0.05,467.0,6.54,13.0,0.18,2.0,0.02,2.0,0.02,23.0,0.32,2.0,0.02,,,890.0,12.47,143.0,2.0,10.0,0.14,293.0,4.1,1290.0,18.07,765.0,10.71,4.0,0.05,3.0,0.04,2.0,0.02,59.0,0.82,310.0,4.34,386.0,5.4,6.0,0.08,271.0,3.79
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,395,5.0,1.26,,,60.0,15.18,,,23.0,5.82,3.0,0.75,,,2.0,0.5,,,,,2.0,0.5,17.0,4.3,17.0,4.3,2.0,0.5,18.0,4.55,142.0,35.94,56.0,14.17,,,,,,,4.0,1.01,6.0,1.51,13.0,3.29,1.0,0.25,24.0,6.07
