Kód kraja,Názov kraja,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
6,Banskobystrický kraj,6,Komunistická strana Slovenska,1375,0.43,864,62.83
6,Banskobystrický kraj,7,Maďarské fórum,651,0.2,566,86.94
6,Banskobystrický kraj,8,Vlastenecký blok,128,0.04,105,82.03
6,Banskobystrický kraj,9,"Modrí, Most - Híd",1142,0.35,955,83.62
6,Banskobystrický kraj,10,SPRAVODLIVOSŤ,146,0.04,101,69.17
6,Banskobystrický kraj,11,Slovenské Hnutie Obrody,165,0.05,125,75.75
6,Banskobystrický kraj,12,Sloboda a Solidarita,16333,5.14,13230,81.0
6,Banskobystrický kraj,13,SME RODINA,8678,2.73,7381,85.05
6,Banskobystrický kraj,14,MySlovensko,352,0.11,237,67.32
6,Banskobystrický kraj,15,Slovenská národná strana,20768,6.53,18580,89.46
6,Banskobystrický kraj,16,SMER - sociálna demokracia,72692,22.89,61850,85.08
6,Banskobystrický kraj,17,HLAS - sociálna demokracia,62776,19.76,53113,84.6
6,Banskobystrický kraj,18,SZÖVETSÉG - Magyarok,16444,5.17,15066,91.62
6,Banskobystrický kraj,19,SRDCE vlastenci a dôchodcovia,559,0.17,426,76.2
6,Banskobystrický kraj,20,SDKU - DS,84,0.02,51,60.71
6,Banskobystrický kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,4228,1.33,3688,87.22
6,Banskobystrický kraj,22,Demokrati,7625,2.4,6531,85.65
6,Banskobystrický kraj,23,Kresťanskodemokratické hnutie,13631,4.29,10256,75.24
6,Banskobystrický kraj,24,KARMA,231,0.07,130,56.27
6,Banskobystrický kraj,25,REPUBLIKA,16463,5.18,14585,88.59
7,Prešovský kraj,1,Pirátska strana - Slovensko,1197,0.29,896,74.85
7,Prešovský kraj,2,PRINCÍP,477,0.11,396,83.01
7,Prešovský kraj,3,Progresívne Slovensko,44128,10.83,34844,78.96
7,Prešovský kraj,4,SPOLOČNE OBČANIA SLOVENSKA,340,0.08,231,67.94
7,Prešovský kraj,5,OĽANO A PRIATELIA,60195,14.78,55784,92.67
7,Prešovský kraj,6,Komunistická strana Slovenska,1264,0.31,917,72.54
7,Prešovský kraj,7,Maďarské fórum,209,0.05,169,80.86
7,Prešovský kraj,8,Vlastenecký blok,108,0.02,79,73.14
7,Prešovský kraj,9,"Modrí, Most - Híd",490,0.12,398,81.22
7,Prešovský kraj,10,SPRAVODLIVOSŤ,160,0.03,97,60.62
7,Prešovský kraj,11,Slovenské Hnutie Obrody,156,0.03,116,74.35
7,Prešovský kraj,12,Sloboda a Solidarita,16717,4.1,14374,85.98
7,Prešovský kraj,13,SME RODINA,9639,2.36,8500,88.18
7,Prešovský kraj,14,MySlovensko,280,0.06,210,75.0
7,Prešovský kraj,15,Slovenská národná strana,23337,5.73,21305,91.29
7,Prešovský kraj,16,SMER - sociálna demokracia,89786,22.04,79069,88.06
7,Prešovský kraj,17,HLAS - sociálna demokracia,65810,16.16,58158,88.37
7,Prešovský kraj,18,SZÖVETSÉG - Magyarok,297,0.07,206,69.36
7,Prešovský kraj,19,SRDCE vlastenci a dôchodcovia,229,0.05,142,62.0
7,Prešovský kraj,20,SDKU - DS,137,0.03,82,59.85
7,Prešovský kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,2566,0.63,2262,88.15
7,Prešovský kraj,22,Demokrati,10830,2.65,9474,87.47
7,Prešovský kraj,23,Kresťanskodemokratické hnutie,57333,14.07,49511,86.35
7,Prešovský kraj,24,KARMA,243,0.05,143,58.84
7,Prešovský kraj,25,REPUBLIKA,21273,5.22,19330,90.86
8,Košický kraj,1,Pirátska strana - Slovensko,1472,0.4,1135,77.1
8,Košický kraj,2,PRINCÍP,483,0.13,414,85.71
8,Košický kraj,3,Progresívne Slovensko,53392,14.68,40647,76.12
8,Košický kraj,4,SPOLOČNE OBČANIA SLOVENSKA,287,0.07,187,65.15
8,Košický kraj,5,OĽANO A PRIATELIA,48978,13.46,44868,91.6
8,Košický kraj,6,Komunistická strana Slovenska,1223,0.33,903,73.83
8,Košický kraj,7,Maďarské fórum,526,0.14,447,84.98
8,Košický kraj,8,Vlastenecký blok,143,0.03,108,75.52
8,Košický kraj,9,"Modrí, Most - Híd",1208,0.33,1027,85.01
8,Košický kraj,10,SPRAVODLIVOSŤ,188,0.05,119,63.29
8,Košický kraj,11,Slovenské Hnutie Obrody,206,0.05,157,76.21
8,Košický kraj,12,Sloboda a Solidarita,20885,5.74,17568,84.11
8,Košický kraj,13,SME RODINA,10008,2.75,8727,87.2
8,Košický kraj,14,MySlovensko,298,0.08,220,73.82
8,Košický kraj,15,Slovenská národná strana,15945,4.38,14390,90.24
8,Košický kraj,16,SMER - sociálna demokracia,76752,21.1,67558,88.02
8,Košický kraj,17,HLAS - sociálna demokracia,54854,15.08,48018,87.53
8,Košický kraj,18,SZÖVETSÉG - Magyarok,19782,5.44,18380,92.91
