Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501671,Jurová,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501689,Kľúčovec,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501697,Kostolné Kračany,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501701,Kráľovičove Kračany,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501719,Kútniky,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501727,Kvetoslavov,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580597,Kyselica,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501735,Lehnice,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501743,Lúč na Ostrove,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555606,Macov,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555649,Mad,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555665,Malé Dvorníky,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501760,Medveďov,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501778,Mierovo,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501786,Michal na Ostrove,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501930,Ňárad,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501808,Nový Život,3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501816,Ohrady,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501824,Okoč,3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501832,Oľdza,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501859,Orechová Potôň,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501867,Padáň,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501883,Pataš,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,582522,Potônske Lúky,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555720,Povoda,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501891,Rohovce,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501875,Sap,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501905,Šamorín,9
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501913,Štvrtok na Ostrove,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501921,Topoľníky,3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555576,Trhová Hradská,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501956,Trnávka,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501964,Trstená na Ostrove,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501972,Veľká Paka,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501981,Veľké Blahovo,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555673,Veľké Dvorníky,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501522,Veľký Meder,8
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555746,Vieska,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501999,Vojka nad Dunajom,1
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502006,Vrakúň,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502014,Vydrany,2
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502022,Zlaté Klasy,3
2,Trnavský kraj,202,Galanta,202,Galanta,503673,Abrahám,1
2,Trnavský kraj,202,Galanta,202,Galanta,503690,Čierna Voda,1
2,Trnavský kraj,202,Galanta,202,Galanta,503703,Čierny Brod,1
2,Trnavský kraj,202,Galanta,202,Galanta,555789,Dolná Streda,1
2,Trnavský kraj,202,Galanta,202,Galanta,503746,Dolné Saliby,2
2,Trnavský kraj,202,Galanta,202,Galanta,503754,Dolný Chotár,1
2,Trnavský kraj,202,Galanta,202,Galanta,503665,Galanta,18
2,Trnavský kraj,202,Galanta,202,Galanta,503762,Gáň,1
2,Trnavský kraj,202,Galanta,202,Galanta,503771,Horné Saliby,2
2,Trnavský kraj,202,Galanta,202,Galanta,503789,Hoste,1
2,Trnavský kraj,202,Galanta,202,Galanta,503827,Jánovce,1
2,Trnavský kraj,202,Galanta,202,Galanta,503835,Jelka,3
2,Trnavský kraj,202,Galanta,202,Galanta,503843,Kajal,1
2,Trnavský kraj,202,Galanta,202,Galanta,503860,Košúty,1
2,Trnavský kraj,202,Galanta,202,Galanta,503878,Kráľov Brod,1
2,Trnavský kraj,202,Galanta,202,Galanta,582638,Malá Mača,1
2,Trnavský kraj,202,Galanta,202,Galanta,555754,Matúškovo,2
2,Trnavský kraj,202,Galanta,202,Galanta,503924,Mostová,1
2,Trnavský kraj,202,Galanta,202,Galanta,503959,Pata,2
2,Trnavský kraj,202,Galanta,202,Galanta,503967,Pusté Sady,1
2,Trnavský kraj,202,Galanta,202,Galanta,503975,Pusté Úľany,1
2,Trnavský kraj,202,Galanta,202,Galanta,504009,Sereď,13
2,Trnavský kraj,202,Galanta,202,Galanta,504017,Sládkovičovo,5
2,Trnavský kraj,202,Galanta,202,Galanta,504033,Šalgočka,1
2,Trnavský kraj,202,Galanta,202,Galanta,504041,Šintava,1
2,Trnavský kraj,202,Galanta,202,Galanta,504050,Šoporňa,3
2,Trnavský kraj,202,Galanta,202,Galanta,504076,Tomášikovo,1
2,Trnavský kraj,202,Galanta,202,Galanta,504084,Topoľnica,1
2,Trnavský kraj,202,Galanta,202,Galanta,504106,Trstice,3
2,Trnavský kraj,202,Galanta,202,Galanta,504114,Váhovce,2
2,Trnavský kraj,202,Galanta,202,Galanta,504122,Veľká Mača,2
2,Trnavský kraj,202,Galanta,202,Galanta,504131,Veľké Úľany,4
2,Trnavský kraj,202,Galanta,202,Galanta,504149,Veľký Grob,1
2,Trnavský kraj,202,Galanta,202,Galanta,504157,Vinohrady nad Váhom,1
2,Trnavský kraj,202,Galanta,202,Galanta,504173,Vozokany,1
2,Trnavský kraj,202,Galanta,202,Galanta,504181,Zemianske Sady,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,581399,Banka,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,558354,Bašovce,1
